order	id	pri_category	mathjax	jwst	title	sim	z
0	2512.17964	Astrophysics of Galaxies (astro-ph.GA)	False	False	A Correlation Between Black Hole Mass and Dark Matter Halo Concentration in Cosmological Simulations	True	False
4	2512.17997	High Energy Astrophysical Phenomena (astro-ph.HE)	False	True	Pulsational Instability of Quasi-Stars: Interpreting the Variability of Little Red Dots	False	True
5	2512.17998	Astrophysics of Galaxies (astro-ph.GA)	False	False	First-Principles Formalism for Simulating Self-Interacting Dark Matter	True	False
6	2512.18000	Cosmology and Nongalactic Astrophysics (astro-ph.CO)	False	True	The Clustering of Little Red Dots from Ultra-Strongly Self-Interacting Dark Matter	False	True
8	2512.18012	Astrophysics of Galaxies (astro-ph.GA)	False	False	Widespread Shocks in an Odd Radio Circle Host Galaxy	False	False
0	2512.18076	Astrophysics of Galaxies (astro-ph.GA)	True	False	Precision Spectroscopy for 1.9 Million Galaxies from SDSS-IV: Improved Spectral Measurements and Catalogs for eBOSS	False	False
4	2512.18260	Instrumentation and Methods for Astrophysics (astro-ph.IM)	True	False	Unlocking the physics of dwarf galaxies in the 2040s: The case for a next-generation wide-field spectroscopic facility with fibres and IFUs	False	False
1	2512.18276	Astrophysics of Galaxies (astro-ph.GA)	True	False	Discovery of a Luminosity-dependent Continuum Lag in NGC 4151 from Photometric and Spectroscopic Continuum Reverberation Mapping	False	False
3	2512.18281	Astrophysics of Galaxies (astro-ph.GA)	True	False	"Measurements of quasar proximity zones with the Lyman-α
forest of DESI Y1 quasars"	False	True
3	2512.18341	Earth and Planetary Astrophysics (astro-ph.EP)	True	False	The size of 3I/ATLAS from non-gravitational acceleration	False	False
27	2512.18369	Instrumentation and Methods for Astrophysics (astro-ph.IM)	False	False	Standard Sirens in 2040s: Probing the Cosmic Expansion History with Gravitational Waves and Spectroscopic Galaxy Surveys	False	False
29	2512.18421	Astrophysics of Galaxies (astro-ph.GA)	False	False	The evolution of obscured AGN across cosmic time -- A large quasar survey for the 2040s	False	True
3	2512.18423	Solar and Stellar Astrophysics (astro-ph.SR)	True	False	Unveiling Long-Period Variables in M33's Central Region: Insights into Stellar Evolution and Star Formation via Near-Infrared Photometry	False	False
37	2512.18577	Astrophysics of Galaxies (astro-ph.GA)	False	False	The Extended Baryonic Tully-Fisher Relation for MaNGA Galaxies	True	False
38	2512.18624	Astrophysics of Galaxies (astro-ph.GA)	False	False	Linear Analyses of Thermal Instability in Stratified Medium	False	False
41	2512.18693	Astrophysics of Galaxies (astro-ph.GA)	False	False	Towards Understanding the Milky Way's Matter Field and Dynamical Accretion History based on AI-GS3 Hunter	False	False
42	2512.18708	Astrophysics of Galaxies (astro-ph.GA)	False	False	Towards Unveiling the Origins of the Milky Way Bulge through Multi-band-Messenger Sky Surveys	False	False
2	2512.18805	Astrophysics of Galaxies (astro-ph.GA)	True	True	Spider-Webb: Spatially-Resolved Evidence of Inside-Out Quenching in the Spiderweb Protocluster at z \sim 2	False	True
7	2512.18870	Astrophysics of Galaxies (astro-ph.GA)	True	False	Orbital classification in rotating bar potentials using an empirical proxy of the second integral of motion	False	False
